Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Nicholas Lindheim,77.0,60.44,2018,293.5,68.04,29.25,53.9,71.344,272,,1.0,0.355,-0.32299999999999995,-0.258,-0.368,-0.052000000000000005,"$593,842"
Andrew Putnam,97.0,60.42,2018,293.8,70.47,29.36,61.52,70.579,"1,026",1.0,5.0,0.052000000000000005,0.47200000000000003,-0.146,0.38,0.187,"$2,387,382"
Jonas Blixt,67.0,60.3,2018,293.1,62.02,29.1,56.83,72.134,167,,,0.244,-0.547,-0.424,-0.563,0.196,"$368,518"
Ethan Tracy,72.0,60.25,2018,299.0,64.87,29.44,54.88,72.038,157,,,-0.026000000000000002,-0.813,-0.054000000000000006,-0.424,-0.309,"$364,493"
Byeong Hun An,86.0,60.19,2018,307.9,67.99,29.31,61.16,70.19,913,,4.0,-0.285,0.805,0.475,0.44799999999999995,0.16699999999999998,"$2,599,264"
Marc Leishman,93.0,60.17,2018,298.5,66.67,28.94,59.07,70.26,"1,148",,6.0,0.126,0.624,-0.006,0.21100000000000002,0.292,"$3,771,221"
Sam Saunders,80.0,60.14,2018,302.8,65.02,28.73,55.79,70.794,420,,4.0,0.094,0.226,0.35,-0.081,-0.138,"$981,936"
Anirban Lahiri,82.0,60.09,2018,294.0,64.7,28.99,58.35,70.66,555,,4.0,0.19899999999999998,0.10400000000000001,0.07,-0.285,0.12,"$1,441,205"
Sean O'Hair,67.0,60.09,2018,302.7,63.84,28.97,57.56,71.479,417,,2.0,-0.207,-0.233,0.21100000000000002,-0.073,-0.16399999999999998,"$1,104,865"
Chesson Hadley,103.0,60.07,2018,300.0,67.68,28.99,56.6,70.311,"1,122",,7.0,0.20800000000000002,0.8590000000000001,0.146,0.606,-0.102,"$2,768,863"
Mackenzie Hughes,80.0,60.04,2018,294.9,66.01,29.37,54.19,71.282,227,,1.0,-0.177,-0.013999999999999999,-0.068,0.353,-0.122,"$518,476"
William McGirt,84.0,59.89,2018,289.3,67.59,29.28,62.86,70.791,449,,3.0,0.2,0.17800000000000002,-0.306,0.091,0.19399999999999998,"$933,327"
Xander Schauffele,96.0,59.77,2018,304.9,65.59,29.18,57.81,70.486,"1,081",,5.0,0.196,0.644,0.24,0.235,-0.027000000000000003,"$4,047,538"
Dustin Johnson,77.0,59.46,2018,314.0,70.57,28.47,62.5,68.69800000000001,"2,717",3.0,10.0,0.385,2.372,0.919,0.8290000000000001,0.23800000000000002,"$8,457,352"
Matt Jones,70.0,59.38,2018,304.5,66.49,29.02,60.16,71.112,264,,,-0.034,0.10400000000000001,0.33299999999999996,-0.386,0.192,"$538,681"
Tiger Woods,68.0,59.35,2018,303.6,67.4,28.49,64.16,69.35,"1,162",,5.0,0.266,1.5959999999999999,0.061,0.883,0.385,"$5,443,841"
Billy Hurley III,70.0,59.24,2018,284.0,63.02,29.09,54.93,71.715,73,,,0.025,-0.7020000000000001,-0.696,-0.17,0.139,"$145,725"
Jon Rahm,71.0,59.2,2018,308.9,70.12,29.14,57.18,69.958,"1,430",1.0,5.0,-0.151,0.889,0.8170000000000001,0.047,0.17600000000000002,"$3,992,678"
Ryan Palmer,69.0,59.11,2018,305.2,65.61,28.92,55.38,71.031,500,,2.0,-0.528,-0.231,0.235,0.23600000000000002,-0.174,"$1,484,445"
Harold Varner III,91.0,59.02,2018,308.2,67.79,29.56,58.14,70.971,474,,3.0,-0.024,0.125,0.204,-0.076,0.021,"$1,223,064"
Harris English,84.0,58.99,2018,302.4,63.32,28.76,57.86,71.16199999999999,383,,2.0,0.222,-0.184,-0.21899999999999997,-0.297,0.111,"$799,450"
Greg Chalmers,56.0,58.9,2018,282.8,56.94,28.31,52.85,72.531,133,,1.0,0.79,-1.266,-0.69,-1.192,-0.174,"$288,023"
Stephan Jaeger,81.0,58.76,2018,299.2,67.11,29.61,56.76,71.35600000000001,211,,,-0.14400000000000002,-0.09,0.045,-0.166,0.175,"$422,260"
Jonathan Byrd,70.0,58.59,2018,291.7,68.19,29.5,58.31,71.398,147,,,-0.106,-0.266,-0.542,0.043,0.33899999999999997,"$267,055"
Keith Mitchell,99.0,58.59,2018,312.6,69.42,29.65,56.55,70.92,659,,4.0,-0.504,-0.018000000000000002,0.706,-0.128,-0.092,"$1,641,260"
Martin Piller,79.0,58.51,2018,292.2,60.39,28.52,57.74,71.929,371,,2.0,0.11900000000000001,-1.127,-0.248,-0.8109999999999999,-0.18600000000000003,"$847,304"
Justin Thomas,91.0,58.41,2018,311.8,68.77,28.33,62.47,69.118,"2,634",3.0,8.0,0.272,1.835,0.408,0.8440000000000001,0.311,"$8,694,821"
Brett Stegmaier,67.0,58.38,2018,295.4,70.31,29.48,56.44,71.191,149,,,0.401,0.048,-0.135,0.078,-0.29600000000000004,"$305,607"
Charley Hoffman,87.0,58.34,2018,299.5,66.53,29.19,56.22,70.521,515,,,0.026000000000000002,0.425,0.254,0.21600000000000003,-0.071,"$1,400,637"
Jason Day,75.0,58.32,2018,310.0,65.28,28.24,62.35,69.60300000000001,"1,771",2.0,5.0,0.77,1.285,0.17600000000000002,-0.14,0.479,"$5,087,461"
Bubba Watson,90.0,58.27,2018,313.1,68.21,29.33,56.64,70.384,"1,879",3.0,5.0,0.001,0.555,0.78,0.005,-0.231,"$5,793,748"
Jason Kokrak,99.0,58.06,2018,309.5,70.37,29.59,55.11,70.444,700,,4.0,0.022000000000000002,0.539,0.36,0.257,-0.10099999999999999,"$1,794,431"
Jhonattan Vegas,92.0,57.91,2018,303.6,65.17,29.43,58.6,71.275,394,,1.0,-0.059000000000000004,0.03,0.294,-0.081,-0.124,"$1,137,444"
Adam Schenk,86.0,57.67,2018,305.5,67.92,29.95,54.55,71.37,239,,1.0,0.13,-0.15,0.073,-0.262,-0.091,"$474,923"
Stewart Cink,87.0,57.6,2018,298.1,68.58,29.53,55.69,70.44,758,,3.0,-0.345,0.465,0.057,0.698,0.055,"$1,887,208"
Matt Atkins,56.0,57.5,2018,301.4,63.46,29.12,57.6,72.251,44,,,-0.198,-1.129,0.134,-1.0390000000000001,-0.027000000000000003,"$89,104"
Talor Gooch,78.0,57.31,2018,298.9,63.58,28.94,59.53,71.149,308,,,0.031,-0.163,-0.322,0.075,0.053,"$654,200"
Bill Haas,76.0,57.27,2018,296.2,64.79,29.23,60.34,71.028,262,,1.0,-0.059000000000000004,0.079,-0.177,-0.052000000000000005,0.368,"$638,414"
J.B. Holmes,77.0,57.13,2018,306.1,65.26,29.01,57.14,70.789,640,,3.0,-0.207,0.5489999999999999,0.565,0.159,0.032,"$1,595,942"
Cameron Smith,85.0,57.03,2018,298.4,63.18,28.36,61.12,70.517,821,,5.0,0.115,0.21899999999999997,-0.14800000000000002,0.034,0.218,"$3,622,607"
Tyrone Van Aswegen,101.0,56.98,2018,290.3,65.23,28.98,58.08,71.243,364,,1.0,-0.01,-0.32299999999999995,-0.493,-0.008,0.187,"$763,584"
Jamie Lovemark,92.0,56.92,2018,303.2,64.65,28.64,61.07,70.734,576,,3.0,0.01,0.38799999999999996,-0.10099999999999999,-0.04,0.519,"$1,377,286"
Peter Malnati,87.0,56.86,2018,290.9,62.99,28.07,61.3,70.84100000000001,226,,,0.619,0.244,-0.37200000000000005,-0.257,0.255,"$420,001"
Brooks Koepka,64.0,56.85,2018,313.4,68.28,28.76,63.28,69.444,"2,012",2.0,5.0,0.168,1.22,0.6579999999999999,0.23199999999999998,0.162,"$7,094,047"
Sung Kang,89.0,56.72,2018,293.1,63.2,29.24,52.4,71.954,480,,2.0,-0.235,-1.041,-0.488,-0.094,-0.225,"$1,243,309"
Scott Stallings,96.0,56.57,2018,299.7,65.62,29.14,60.86,70.719,470,,2.0,-0.07,0.27,-0.008,0.373,-0.025,"$1,147,573"
Shawn Stefani,76.0,56.52,2018,299.6,67.49,29.27,58.43,71.192,268,,1.0,-0.034,0.107,-0.09300000000000001,0.22,0.013000000000000001,"$523,204"
Robert Garrigus,80.0,56.37,2018,307.9,65.28,29.2,56.84,71.457,353,,1.0,-0.569,-0.213,0.21,0.331,-0.18600000000000003,"$702,030"
Nick Watney,94.0,56.33,2018,307.5,67.96,29.26,55.68,70.862,491,,1.0,0.2,0.34299999999999997,0.17,0.141,-0.16699999999999998,"$1,402,833"
Rob Oppenheim,74.0,56.26,2018,285.2,64.05,28.91,59.55,71.532,148,,,0.045,-0.542,-0.662,0.026000000000000002,0.05,"$279,019"
Grayson Murray,72.0,56.0,2018,307.3,62.5,28.94,54.32,72.09100000000001,438,,2.0,-0.35,-0.336,0.375,-0.34700000000000003,-0.015,"$1,056,628"
Rory McIlroy,64.0,55.79,2018,319.7,66.3,28.46,62.97,69.303,"1,154",1.0,5.0,0.06,1.412,0.7609999999999999,0.26899999999999996,0.322,"$4,410,296"
Dominic Bozzelli,65.0,55.69,2018,297.0,60.94,28.18,58.86,71.179,190,,,0.308,-0.055,-0.244,-0.252,0.133,"$391,634"
Patton Kizzire,92.0,55.59,2018,298.7,69.04,29.53,55.24,70.84100000000001,"1,386",2.0,4.0,0.03,-0.033,-0.294,0.381,-0.15,"$3,541,151"
Matt Every,79.0,55.5,2018,294.2,64.59,29.24,52.51,72.044,113,,1.0,-0.364,-1.139,-0.43700000000000006,-0.024,-0.314,"$299,162"
Cody Gribble,71.0,55.45,2018,301.0,62.48,28.88,53.3,72.112,141,,,0.201,-0.8190000000000001,-0.212,-0.696,-0.111,"$302,593"
Wesley Bryan,69.0,55.41,2018,280.4,61.28,28.1,60.17,71.55199999999999,219,,,0.36,-0.45399999999999996,-1.443,0.222,0.40700000000000003,"$498,166"
Lanto Griffin,80.0,55.27,2018,302.5,67.42,29.42,55.76,71.145,175,,,-0.096,-0.268,-0.046,-0.043,-0.084,"$358,380"
Retief Goosen,60.0,55.22,2018,296.2,61.75,29.12,56.98,71.40899999999999,261,,1.0,-0.41100000000000003,-0.49700000000000005,-0.392,0.389,-0.083,"$545,364"
Seamus Power,86.0,55.19,2018,302.6,65.17,28.68,63.8,70.869,377,,2.0,0.498,0.17800000000000002,0.076,-0.392,-0.003,"$791,018"
Charl Schwartzel,65.0,55.19,2018,299.5,61.11,28.74,57.88,71.34899999999999,528,,3.0,0.081,-0.195,-0.035,-0.168,-0.073,"$1,710,179"
Patrick Reed,94.0,55.11,2018,298.1,63.57,28.33,62.94,70.10600000000001,"1,555",1.0,7.0,0.16399999999999998,0.9470000000000001,0.051,0.187,0.545,"$5,006,267"
Tony Finau,105.0,55.09,2018,315.1,70.18,29.03,57.22,69.52,"1,509",,8.0,0.23199999999999998,1.435,0.48100000000000004,0.5,0.222,"$5,620,138"
Trey Mullinax,75.0,54.94,2018,318.3,65.38,29.13,54.42,70.815,528,,3.0,0.07200000000000001,-0.07200000000000001,0.506,-0.442,-0.207,"$1,184,245"
Martin Flores,92.0,54.92,2018,300.0,66.34,29.36,54.89,71.458,215,,,-0.289,-0.5670000000000001,-0.09699999999999999,-0.083,-0.098,"$449,266"
Michael Kim,74.0,54.89,2018,289.9,60.63,28.54,56.05,71.66199999999999,675,1.0,1.0,0.259,-1.003,-1.023,-0.213,-0.027000000000000003,"$1,379,736"
Brandon Harkins,101.0,54.79,2018,303.1,65.67,28.86,55.88,70.721,528,,3.0,0.225,0.275,0.18100000000000002,-0.006,-0.124,"$1,148,115"
Zecheng Dou,53.0,54.76,2018,291.9,63.72,30.0,51.56,72.773,21,,,-0.667,-1.198,-0.079,-0.265,-0.187,"$90,993"
Tom Lovelady,87.0,54.73,2018,315.9,67.08,29.56,52.08,71.252,332,,2.0,-0.049,-0.19,0.379,-0.24,-0.27899999999999997,"$700,783"
Daniel Summerhays,51.0,54.69,2018,287.1,56.79,27.82,54.86,73.17699999999999,89,,1.0,0.736,-2.105,-0.977,-1.5859999999999999,-0.27699999999999997,"$234,510"
Luke List,98.0,54.66,2018,314.6,68.36,29.45,58.41,70.229,"1,080",,5.0,-0.467,0.87,0.795,0.19399999999999998,0.349,"$2,710,736"
Robert Streb,78.0,54.11,2018,292.6,64.94,29.51,52.89,71.905,155,,1.0,-0.081,-0.581,-0.68,0.096,0.084,"$411,606"
Andrew Yun,51.0,53.58,2018,290.6,61.85,30.2,44.01,73.624,16,,,-0.6,-1.936,-0.457,-0.447,-0.43200000000000005,"$41,566"
Jimmy Walker,81.0,53.49,2018,299.0,61.9,28.34,59.09,70.786,719,,4.0,0.324,0.35700000000000004,-0.43700000000000006,0.304,0.166,"$2,027,312"
Aaron Baddeley,84.0,53.27,2018,295.3,63.39,28.85,61.09,70.85,342,,1.0,-0.057,0.309,-0.345,0.11699999999999999,0.595,"$725,928"
Derek Fathauer,84.0,53.27,2018,289.1,60.35,28.46,54.99,71.827,316,,1.0,0.363,-0.807,-0.757,-0.365,-0.048,"$708,712"
Peter Uihlein,83.0,52.93,2018,302.2,67.88,29.41,57.87,70.578,593,,4.0,0.021,0.268,0.132,-0.04,0.156,"$1,797,715"
Phil Mickelson,90.0,52.91,2018,300.3,64.88,28.11,58.36,70.098,"1,546",1.0,6.0,0.51,0.9309999999999999,-0.225,0.555,0.091,"$4,595,187"
Kevin Tway,110.0,52.61,2018,310.1,66.88,29.15,56.77,70.8,577,,3.0,0.052000000000000005,0.32899999999999996,0.271,0.032,-0.026000000000000002,"$1,379,544"
Ollie Schniederjans,91.0,52.22,2018,301.4,62.77,28.44,56.95,70.641,573,,3.0,0.325,0.254,-0.41,0.09,0.25,"$1,303,610"
Cameron Tringale,67.0,51.99,2018,289.3,65.52,29.81,55.24,72.146,88,,,-0.10400000000000001,-1.0190000000000001,-1.351,0.348,0.08800000000000001,"$179,459"
Ricky Barnes,65.0,47.15,2018,290.6,63.75,28.25,57.4,71.663,164,,1.0,0.33799999999999997,-0.365,-1.0190000000000001,0.059000000000000004,0.257,"$340,591"
Ryan Armour,63.0,72.73,2017,278.8,69.96,29.88,58.31,70.965,222,,1.0,-0.028999999999999998,0.107,0.02,0.121,-0.005,"$443,006"
Boo Weekley,75.0,71.67,2017,289.9,68.65,30.29,56.31,71.476,173,,1.0,-0.9540000000000001,-0.32299999999999995,0.634,0.425,-0.429,"$416,929"
Brian Stuard,93.0,71.49,2017,272.3,63.59,28.92,57.99,71.72,285,,,-0.13699999999999998,-0.34299999999999997,-0.34,0.171,-0.16399999999999998,"$588,806"
Jim Furyk,54.0,70.75,2017,270.1,65.72,29.36,61.03,71.071,232,,1.0,0.187,-0.023,-0.491,0.49200000000000005,-0.036000000000000004,"$558,097"
Chez Reavie,98.0,70.53,2017,284.8,66.91,28.64,63.28,70.244,666,,3.0,0.41700000000000004,0.762,0.121,0.375,-0.073,"$1,819,207"
William McGirt,89.0,70.06,2017,284.8,67.23,29.61,57.08,71.15100000000001,499,,3.0,-0.025,-0.067,0.257,-0.193,-0.13699999999999998,"$1,225,005"
Francesco Molinari,75.0,69.8,2017,291.9,67.22,28.91,62.95,69.80199999999999,"1,010",,5.0,-0.08900000000000001,1.4180000000000001,0.483,0.8420000000000001,0.128,"$2,875,850"
Zac Blair,105.0,69.7,2017,272.7,64.7,28.87,65.5,71.007,364,,1.0,0.035,-0.044000000000000004,-0.155,-0.141,0.218,"$788,352"
Søren Kjeldsen,58.0,69.21,2017,273.6,62.02,29.0,51.64,71.39,283,,1.0,0.473,-0.182,-0.424,-0.09,-0.142,"$722,913"
Graeme McDowell,56.0,69.15,2017,279.0,62.55,28.2,58.52,70.62899999999999,331,,,0.563,0.5720000000000001,0.085,-0.036000000000000004,-0.111,"$639,770"
Jim Herman,77.0,69.02,2017,292.5,68.07,29.77,56.15,70.931,553,,2.0,-0.127,0.368,0.42200000000000004,0.14300000000000002,-0.07,"$1,205,632"
Ken Duke,77.0,68.62,2017,274.2,63.69,29.38,56.47,72.078,98,,,-0.452,-0.887,-0.179,-0.256,0.0,"$225,907"
Kyle Stanley,104.0,68.55,2017,296.5,70.39,29.63,58.35,69.98899999999999,"1,204",1.0,5.0,-0.309,0.951,0.659,0.562,0.038,"$3,402,106"
Vaughn Taylor,90.0,68.28,2017,282.4,66.67,29.0,60.52,71.044,369,,,0.139,0.106,-0.001,0.135,-0.168,"$797,385"
Steve Wheatcroft,51.0,68.24,2017,280.5,60.99,28.51,63.64,71.577,138,,1.0,0.479,-0.162,0.259,-0.953,0.054000000000000006,"$309,518"
Ben Crane,86.0,67.97,2017,278.5,65.68,29.13,59.02,71.09100000000001,281,,1.0,-0.155,-0.223,-0.15,-0.024,0.105,"$618,483"
Ryan Moore,82.0,67.9,2017,288.0,65.05,29.04,56.74,70.741,671,,2.0,-0.017,0.301,-0.006,0.498,-0.17300000000000001,"$1,751,851"
Spencer Levin,89.0,67.82,2017,279.0,65.56,29.38,61.1,71.516,201,,1.0,0.03,-0.4,-0.161,-0.195,-0.073,"$469,730"
Steven Alker,69.0,67.54,2017,276.9,65.17,29.14,59.75,71.638,121,,,-0.309,-0.41200000000000003,-0.289,-0.212,0.39799999999999996,"$218,681"
Chad Campbell,97.0,67.21,2017,285.6,69.07,29.51,64.63,70.509,616,,3.0,-0.28600000000000003,0.405,0.040999999999999995,0.506,0.14400000000000002,"$1,329,941"
Alex Cejka,85.0,67.19,2017,282.1,66.45,29.51,61.08,71.461,276,,1.0,-0.359,-0.452,-0.02,-0.2,0.127,"$618,171"
Russell Knox,75.0,67.09,2017,288.0,66.58,29.35,57.46,70.765,669,,4.0,-0.349,-0.14400000000000002,0.102,0.18100000000000002,-0.11900000000000001,"$1,643,924"
Kevin Kisner,105.0,67.0,2017,288.7,66.43,28.79,62.5,70.294,"1,612",1.0,7.0,0.38799999999999996,1.148,0.257,0.33399999999999996,0.065,"$4,766,936"
David Hearn,93.0,66.75,2017,281.0,64.71,29.07,61.85,71.107,359,,2.0,-0.052000000000000005,-0.096,-0.175,0.016,0.115,"$800,710"
Zach Johnson,81.0,66.54,2017,286.8,64.16,28.52,60.08,70.393,839,,4.0,0.41700000000000004,0.584,-0.005,-0.006999999999999999,0.226,"$2,362,968"
Keegan Bradley,104.0,66.23,2017,299.4,68.93,29.36,59.49,70.437,794,,5.0,-0.21600000000000003,0.629,0.625,0.139,0.004,"$1,940,478"
K.J. Choi,72.0,66.23,2017,282.2,63.05,28.97,60.36,71.618,143,,,0.17600000000000002,-0.264,-0.141,-0.511,0.213,"$292,716"
Roberto Castro,70.0,66.2,2017,280.2,63.89,29.5,60.14,71.808,164,,,-0.447,-0.479,-0.244,0.099,0.031,"$367,362"
Kevin Streelman,90.0,66.01,2017,294.0,66.67,29.47,60.04,70.873,541,,2.0,-0.281,0.16899999999999998,0.292,0.19699999999999998,-0.038,"$1,313,327"
Richy Werenski,81.0,65.92,2017,291.2,67.42,29.31,60.6,71.171,423,,3.0,0.0,-0.223,0.203,-0.12300000000000001,-0.303,"$890,262"
D.A. Points,68.0,65.83,2017,278.1,66.83,29.56,55.67,71.315,435,1.0,1.0,-0.478,-0.406,-0.436,0.42100000000000004,0.087,"$893,700"
Chris Stroud,67.0,65.7,2017,286.8,66.2,29.03,59.33,70.815,627,1.0,3.0,-0.126,0.013000000000000001,-0.094,0.17300000000000001,0.06,"$1,308,445"
Tim Wilkinson,64.0,65.68,2017,279.5,63.98,28.67,62.77,70.95,233,,,0.009000000000000001,-0.053,-0.289,-0.31,0.5379999999999999,"$411,459"
Webb Simpson,102.0,65.51,2017,286.2,65.26,28.52,65.15,70.018,"1,058",,4.0,0.049,0.945,-0.036000000000000004,0.503,0.426,"$3,209,646"
Brian Gay,82.0,65.47,2017,278.7,63.53,28.32,62.3,70.585,426,,3.0,0.451,0.282,-0.41700000000000004,-0.006,0.254,"$942,372"
Matt Kuchar,95.0,65.36,2017,285.1,66.6,28.7,65.78,69.806,"1,260",,6.0,0.332,1.1059999999999999,0.158,0.253,0.43,"$4,282,489"
Lucas Glover,93.0,65.31,2017,298.1,70.08,29.52,60.13,70.139,706,,4.0,-0.026000000000000002,0.9329999999999999,0.502,0.301,0.14,"$1,955,822"
Emiliano Grillo,90.0,65.29,2017,293.0,67.06,29.28,56.55,70.798,518,,2.0,-0.17300000000000001,0.455,0.368,0.281,-0.11599999999999999,"$1,567,015"
